rank,player_name,rank_points
1,Jannik Sinner,"12,030"
2,Carlos Alcaraz,"8,600"
3,Alexander Zverev,"6,030"
4,Taylor Fritz,"5,135"
5,Jack Draper,"4,650"
6,Novak Djokovic,"4,130"
7,Ben Shelton,"3,520"
8,Alex de Minaur,"3,335"
9,Holger Rune,"3,250"
10,Lorenzo Musetti,"3,195"
11,Andrey Rublev,"3,110"
12,Frances Tiafoe,"2,990"
13,Casper Ruud,"2,905"
14,Daniil Medvedev,"2,720"
15,Tommy Paul,"2,620"
16,Karen Khachanov,"2,590"
17,Flavio Cobolli,"2,385"
18,Jakub Mensik,"2,362"
19,Alejandro Davidovich Fokina,"2,225"
20,Grigor Dimitrov,"2,155"
21,Arthur Fils,"2,130"
22,Tomas Machac,"2,110"
23,Ugo Humbert,"2,095"
24,Francisco Cerundolo,"2,085"
25,Alexander Bublik,"2,065"
26,Alexei Popyrin,"2,050"
27,Jiri Lehecka,"2,015"
28,Felix Auger-Aliassime,"1,865"
29,Denis Shapovalov,"1,836"
30,Stefanos Tsitsipas,"1,825"
31,Tallon Griekspoor,"1,715"
32,Brandon Nakashima,"1,700"
33,Sebastian Korda,"1,645"
34,Alex Michelsen,"1,555"
35,Luciano Darderi,"1,414"
36,Gabriel Diallo,"1,333"
37,Hubert Hurkacz,"1,285"
38,Lorenzo Sonego,"1,281"
39,Cameron Norrie,"1,277"
40,Alexandre Muller,"1,271"
41,Matteo Arnaldi,"1,265"
42,Nuno Borges,"1,265"
43,Giovanni Mpetshi Perricard,"1,205"
44,Jordan Thompson,"1,185"
45,Sebastian Baez,"1,180"
46,Corentin Moutet,"1,139"
47,Camilo Ugo Carabelli,"1,133"
48,Gael Monfils,"1,115"
49,Joao Fonseca,"1,110"
50,Miomir Kecmanovic,"1,106"
51,Jaume Munar,"1,087"
52,Zizou Bergs,"1,049"
53,Roberto Bautista Agut,"1,046"
54,Damir Dzumhur,"1,028"
55,Jacob Fearnley,"1,007"
56,Fabian Marozsan,"1,005"
57,Matteo Berrettini,975
58,Daniel Altmaier,973
59,Marcos Giron,960
60,Tomas Martin Etcheverry,960
61,Learner Tien,940
62,Aleksandar Kovacevic,929
63,Marin Cilic,922
64,Arthur Rinderknech,914
65,David Goffin,914
66,Benjamin Bonzi,905
67,Kei Nishikori,893
68,Pedro Martinez,890
69,Quentin Halys,886
70,Laslo Djere,886
71,Francisco Comesana,874
72,Mattia Bellucci,871
73,Hamad Medjedovic,869
74,Reilly Opelka,827
75,Arthur Cazaux,800
76,Yunchaokete Bu,793
77,Mariano Navone,785
78,Christopher O'Connell,775
79,Jesper de Jong,766
80,Vit Kopriva,756
81,Kamil Majchrzak,744
82,Roman Safiullin,741
83,Juan Manuel Cerundolo,736
84,Carlos Taberner,734
85,Rinky Hijikata,733
86,Ethan Quinn,726
87,Botic van de Zandschulp,722
88,Adam Walton,706
89,Roberto Carballes Baena,690
90,Raphael Collignon,690
91,Marton Fucsovics,688
92,Borna Coric,680
93,Pablo Carreno Busta,662
94,Adrian Mannarino,661
95,Filip Misolic,661
96,Mackenzie McDonald,655
97,Luca Nardi,655
98,Hugo Dellien,654
99,Aleksandar Vukic,639
100,Nicolas Jarry,638
101,Alexander Shevchenko,635
102,Jenson Brooksby,627
103,Tristan Schoolkate,616
104,Alejandro Tabilo,605
105,Elmer Moller,601
106,James Duckworth,600
107,Chun-Hsin Tseng,599
108,Brandon Holt,594
109,Juncheng Shang,580
110,Nishesh Basavareddy,580
111,Valentin Royer,579
112,Nikoloz Basilashvili,548
113,Liam Draxl,548
114,Emilio Nava,539
115,Cristian Garin,535
116,Jaime Faria,530
117,Otto Virtanen,529
118,Francesco Passaro,524
119,Lukas Klein,517
120,Dalibor Svrcina,514
121,Alexander Blockx,492
122,Shintaro Mochizuki,491
123,Tristan Boyer,480
124,Eliot Spizzirri,477
125,Matteo Gigante,476
126,Hugo Gaston,473
127,Dino Prizmic,470
128,Andrea Pellegrino,468
129,Daniel Evans,465
130,Thiago Agustin Tirante,461
131,Yoshihito Nishioka,459
132,Terence Atmane,458
133,Thiago Seyboth Wild,455
134,Daniel Elahi Galan,455
135,Ignacio Buse,453
136,Colton Smith,448
137,Martin Landaluce,440
138,Jan-Lennard Struff,438
139,Roman Andres Burruchaga,437
140,Juan Pablo Ficovich,435
141,Sebastian Ofner,433
142,Pierre-Hugues Herbert,431
143,Tomas Barrios Vera,425
144,August Holmgren,418
145,Dusan Lajovic,414
146,Billy Harris,405
147,Mark Lajal,403
148,Zachary Svajda,399
149,Vilius Gaubas,396
150,Yannick Hanfmann,392
151,Jan Choinski,387
152,Stan Wawrinka,382
153,Titouan Droguet,377
154,Federico Coria,376
155,Christopher Eubanks,369
156,Taro Daniel,368
157,Harold Mayot,363
158,Yosuke Watanuki,358
159,Chris Rodesch,356
160,Felipe Meligeni Alves,356
161,Thanasi Kokkinakis,355
162,Zsombor Piros,350
163,Kyrian Jacquet,349
164,Li Tu,344
165,Zhizhen Zhang,335
166,Mitchell Krueger,333
167,James McCabe,323
168,Coleman Wong,323
