match_date,player1_name,player1_odds,player2_name,player2_odds,status_1,status_2,player1_score,player2_score,match_status
2025-07-02,Cameron Norrie,"['+145', '+145', '+150', '+145', '+145', '+145', '+162']",Frances Tiafoe,"['-190', '-180', '-188', '-190', '-186', '-186', '-196']",FINAL,,3,1,FINISHED
2025-07-02,Joao Fonseca,"['-190', '-240', '-225', '-235', '-215', '-215', '-230']",Jenson Brooksby,"['+145', '+180', '+175', '+180', '+170', '+170', '+188']",FINAL,,3,1,FINISHED
2025-07-02,Shintaro Mochizuki,"['+375', '+475', '+450', '+475', '+475', '+475', '+540']",Karen Khachanov,"['-550', '-800', '-700', '-750', '-715', '-715', '-800']",FINAL,,2,3,FINISHED
2025-07-02,Adrian Mannarino,"['-250', '-240', '-250', '-235', '-200', '-200', '-240']",Valentin Royer,"['+190', '+180', '+200', '+185', '+155', '+155', '+190']",FINAL,,3,1,FINISHED
2025-07-02,Nicolas Jarry,"['-140', '-150', '-150', '-155', '-155', '-155', '-150']",Learner Tien,"['+110', '+120', '+120', '+118', '+123', '+123', '+118']",FINAL,,3,0,FINISHED
2025-07-02,Andrey Rublev,"['-450', '-350', '-350', '-350', '-360', '-360', '-360']",Lloyd Harris,"['+320', '+250', '+275', '+260', '+235', '+235', '+275']",FINAL,,3,1,FINISHED
2025-07-02,Nuno Borges,"['-190', '-170', '-175', '-175', '-175', '-175', '-184']",Billy Harris,"['+145', '+135', '+138', '+135', '+135', '+135', '+152']",FINAL,,3,0,FINISHED
2025-07-02,Oliver Tarvet,"['+1350', '+2000', '+2200', '+1600', '+2200', '+2200', '+2000']",Carlos Alcaraz,"['-', '-20000', '-8000', '-', '-10000', '-10000', '-7000']",LIVE,3rd Set,0,2,LIVE
2025-07-02,Jordan Thompson,"['+130', '+155', '+150', '+145', '+160', '+160', '+152']",Benjamin Bonzi,"['-165', '-200', '-188', '-190', '-205', '-205', '-184']",LIVE,2nd Set,1,0,LIVE
2025-07-02,Jiri Lehecka,"['-625', '-600', '-450', '-525', '-500', '-500', '-465']",Mattia Bellucci,"['+400', '+380', '+333', '+350', '+360', '+360', '+385']",WED 07/02,12:40 PM,-,-,SCHEDULED
2025-07-02,Kamil Majchrzak,"['+130', '+115', '+130', '+115', '+105', '+105', '+125']",Ethan Quinn,"['-165', '-145', '-163', '-150', '-134', '-134', '-150']",WED 07/02,12:55 PM,-,-,SCHEDULED
2025-07-02,Taylor Fritz,"['-300', '-300', '-275', '-300', '-315', '-315', '-310']",Gabriel Diallo,"['+225', '+220', '+220', '+225', '+245', '+245', '+240']",WED 07/02,12:45 PM,-,-,SCHEDULED
2025-07-02,Cristian Garin,"['+135', '+115', '+130', '+110', '+116', '+116', '+126']",Arthur Rinderknech,"['-175', '-145', '-163', '-145', '-148', '-148', '-152']",WED 07/02,12:45 PM,-,-,SCHEDULED
2025-07-02,Felix Auger-aliassime,"['-325', '-280', '-275', '-275', '-265', '-265', '-280']",Jan-Lennard Struff,"['+240', '+210', '+220', '+210', '+195', '+195', '+230']",WED 07/02,1:35 PM,-,-,SCHEDULED
2025-07-02,Arthur Fery,"['+120', '-130', '-125', '-135', '-125', '-125', '-122']",Luciano Darderi,"['-155', '+100', '+100', '+105', '+100', '+100', '+102']",WED 07/02,1:40 PM,-,-,SCHEDULED
2025-07-02,Botic Van de Zandschulp,"['+240', '+250', '+250', '+240', '+255', '+255', '+255']",Alejandro Davidovich Fokina,"['-325', '-350', '-333', '-325', '-345', '-345', '-320']",WED 07/02,1:50 PM,-,-,SCHEDULED
2025-07-03,Sebastian Ofner,"['+340', '+400', '+350', '+375', '+370', '+370', '+365']",Tommy Paul,"['-500', '-650', '-500', '-550', '-530', '-530', '-490']",THU 07/03,6:00 AM,-,-,SCHEDULED
2025-07-03,Lorenzo Sonego,"['-225', '-240', '-225', '-220', '-240', '-240', '-230']",Nikoloz Basilashvili,"['+175', '+180', '+175', '+170', '+185', '+185', '+188']",THU 07/03,6:00 AM,-,-,SCHEDULED
2025-07-03,Alex de Minaur,"['-1000', '-900', '-1000', '-1000', '-910', '-910', '-1100']",Arthur Cazaux,"['+550', '+500', '+600', '+550', '+575', '+575', '+660']",THU 07/03,6:00 AM,-,-,SCHEDULED
2025-07-03,Pedro Martinez,"['+145', '+170', '+175', '+170', '+155', '+155', '+184']",Mariano Navone,"['-190', '-220', '-225', '-220', '-200', '-200', '-225']",THU 07/03,6:00 AM,-,-,SCHEDULED
2025-07-03,Fabian Marozsan,"['-120', '-115', '-110', '+100', '-109', '-109', '-102']",Jaume Munar,"['-105', '-115', '-110', '-130', '-117', '-117', '-118']",THU 07/03,6:00 AM,-,-,SCHEDULED
2025-07-03,August Holmgren,"['+500', '+440', '+500', '+475', '+525', '+525', '+530']",Tomas Machac,"['-800', '-700', '-800', '-750', '-770', '-770', '-780']",THU 07/03,6:00 AM,-,-,SCHEDULED
2025-07-03,Miomir Kecmanovic,"['-275', '-260', '-250', '-250', '-250', '-250', '-265']",Jesper De Jong,"['+210', '+190', '+200', '+190', '+188', '+188', '+210']",THU 07/03,6:00 AM,-,-,SCHEDULED
2025-07-03,Grigor Dimitrov,"['-165', '-240', '-250', '-250', '-225', '-225', '-245']",Corentin Moutet,"['+130', '+180', '+200', '+190', '+175', '+175', '+198']",THU 07/03,6:00 AM,-,-,SCHEDULED
2025-07-03,Ben Shelton,"['-475', '-450', '-450', '-500', '-480', '-480', '-465']",Rinky Hijikata,"['+325', '+310', '+333', '+340', '+335', '+335', '+365']",THU 07/03,6:00 AM,-,-,SCHEDULED
2025-07-03,Flavio Cobolli,"['-200', '-220', '-200', '-220', '-235', '-235', '-225']",Jack Pinnington Jones,"['+155', '+170', '+163', '+170', '+180', '+180', '+184']",THU 07/03,6:00 AM,-,-,SCHEDULED
2025-07-03,Marcos Giron,"['+175', '+170', '+163', '+175', '+155', '+155', '+172']",Jakub Mensik,"['-225', '-220', '-200', '-225', '-200', '-200', '-210']",THU 07/03,6:00 AM,-,-,SCHEDULED
2025-07-03,Marton Fucsovics,"['-175', '-130', '-138', '-120', '-134', '-134', '-115']",Gael Monfils,"['+135', '+100', '+110', '-105', '+106', '+106', '-104']",THU 07/03,6:00 AM,-,-,SCHEDULED
2025-07-03,Brandon Nakashima,"['-', '-', '-175', '-', '-180', '-180', '-']",Reilly Opelka,"['-', '-', '+138', '-', '+140', '+140', '-']",THU 07/03,6:00 AM,-,-,SCHEDULED
2025-07-03,Daniel Evans,"['+950', '+900', '+1400', '+875', '+1000', '+1000', '+1200']",Novak Djokovic,"['-2500', '-2500', '-3300', '-2500', '-2000', '-2000', '-3000']",THU 07/03,8:30 AM,-,-,SCHEDULED
2025-07-03,Jack Draper,"['-1200', '-1000', '-900', '-1000', '-910', '-910', '-950']",Marin Cilic,"['+650', '+550', '+550', '+575', '+650', '+650', '+610']",THU 07/03,10:20 AM,-,-,SCHEDULED
2025-07-03,Jannik Sinner,"['-', '-10000', '-10000', '-', '-10000', '-10000', '-10000']",Aleksandar Vukic,"['+1350', '+1600', '+2500', '+1650', '+1500', '+1500', '+3500']",THU 07/03,11:20 AM,-,-,SCHEDULED
