tournament,surface,time,player1,player2,date,status
Wimbledon (United Kingdom),grass,,Tarvet O.,Alcaraz C.,2025-07-02,LIVE
Wimbledon (United Kingdom),grass,,Thompson J.,Bonzi B.,2025-07-02,LIVE
Wimbledon (United Kingdom),grass,,Fonseca J.,Brooksby J.,2025-07-02,FINISHED
Wimbledon (United Kingdom),grass,,Norrie C.,Tiafoe F.,2025-07-02,FINISHED
Wimbledon (United Kingdom),grass,,Mannarino A.,Royer V.,2025-07-02,FINISHED
Wimbledon (United Kingdom),grass,,Jarry N.,Tien L.,2025-07-02,FINISHED
Wimbledon (United Kingdom),grass,,Mochizuki S.,Khachanov K.,2025-07-02,FINISHED
Wimbledon (United Kingdom),grass,,Rublev A.,Harris L.,2025-07-02,FINISHED
Wimbledon (United Kingdom),grass,,Borges N.,Harris B.,2025-07-02,FINISHED
Wimbledon (United Kingdom),grass,,Nakashima B.,Bu Y.,2025-07-02,FINISHED
Wimbledon (United Kingdom),grass,01:00 PM,Fritz T.,Diallo G.,2025-07-02,SCHEDULED
Wimbledon (United Kingdom),grass,01:15 PM,Garin C.,Rinderknech A.,2025-07-02,SCHEDULED
Wimbledon (United Kingdom),grass,01:15 PM,Lehecka J.,Bellucci M.,2025-07-02,SCHEDULED
Wimbledon (United Kingdom),grass,01:30 PM,Majchrzak K.,Quinn E.,2025-07-02,SCHEDULED
Wimbledon (United Kingdom),grass,02:05 PM,Auger-Aliassime F.,Struff J-L.,2025-07-02,SCHEDULED
Wimbledon (United Kingdom),grass,02:05 PM,Fery A.,Darderi L.,2025-07-02,SCHEDULED
Wimbledon (United Kingdom),grass,02:10 PM,Van De Zandschulp B.,Davidovich Fokina A.,2025-07-02,SCHEDULED
Wimbledon (United Kingdom),grass,06:00 AM,Cobolli F.,Pinnington Jones J.,2025-07-03,SCHEDULED
Wimbledon (United Kingdom),grass,06:00 AM,De Minaur A.,Cazaux A.,2025-07-03,SCHEDULED
Wimbledon (United Kingdom),grass,06:00 AM,Dimitrov G.,Moutet C.,2025-07-03,SCHEDULED
Wimbledon (United Kingdom),grass,06:00 AM,Fucsovics M.,Monfils G.,2025-07-03,SCHEDULED
Wimbledon (United Kingdom),grass,06:00 AM,Giron M.,Mensik J.,2025-07-03,SCHEDULED
Wimbledon (United Kingdom),grass,06:00 AM,Holmgren A.,Machac T.,2025-07-03,SCHEDULED
Wimbledon (United Kingdom),grass,06:00 AM,Kecmanovic M.,De Jong J.,2025-07-03,SCHEDULED
Wimbledon (United Kingdom),grass,06:00 AM,Marozsan F.,Munar J.,2025-07-03,SCHEDULED
Wimbledon (United Kingdom),grass,06:00 AM,Martinez P.,Navone M.,2025-07-03,SCHEDULED
Wimbledon (United Kingdom),grass,06:00 AM,Nakashima B.,Opelka R.,2025-07-03,SCHEDULED
Wimbledon (United Kingdom),grass,06:00 AM,Ofner S.,Paul T.,2025-07-03,SCHEDULED
Wimbledon (United Kingdom),grass,06:00 AM,Shelton B.,Hijikata R.,2025-07-03,SCHEDULED
Wimbledon (United Kingdom),grass,06:00 AM,Sonego L.,Basilashvili N.,2025-07-03,SCHEDULED
Wimbledon (United Kingdom),grass,08:30 AM,Evans D.,Djokovic N.,2025-07-03,SCHEDULED
Wimbledon (United Kingdom),grass,11:00 AM,Draper J.,Cilic M.,2025-07-03,SCHEDULED
Wimbledon (United Kingdom),grass,12:00 PM,Sinner J.,Vukic A.,2025-07-03,SCHEDULED
