name,rank,rank_points
Jannik Sinner,1,"12,030"
Carlos Alcaraz,2,"8,600"
Alexander Zverev,3,"6,030"
Taylor Fritz,4,"5,135"
Jack Draper,5,"4,650"
Novak Djokovic,6,"4,130"
Ben Shelton,7,"3,520"
Alex De Minaur,8,"3,335"
Holger Rune,9,"3,250"
Lorenzo Musetti,10,"3,195"
Andrey Rublev,11,"3,110"
Frances Tiafoe,12,"2,990"
Casper Ruud,13,"2,905"
Daniil Medvedev,14,"2,720"
Tommy Paul,15,"2,620"
Karen Khachanov,16,"2,590"
Flavio Cobolli,17,"2,385"
Jakub Mensik,18,"2,362"
Alejandro Davidovich Fokina,19,"2,225"
Grigor Dimitrov,20,"2,155"
Arthur Fils,21,"2,130"
Tomas Machac,22,"2,110"
Ugo Humbert,23,"2,095"
Francisco Cerundolo,24,"2,085"
Alexander Bublik,25,"2,065"
Alexei Popyrin,26,"2,050"
Jiri Lehecka,27,"2,015"
Felix Auger-Aliassime,28,"1,865"
Denis Shapovalov,29,"1,836"
Stefanos Tsitsipas,30,"1,825"
Tallon Griekspoor,31,"1,715"
Brandon Nakashima,32,"1,700"
Sebastian Korda,33,"1,645"
Alex Michelsen,34,"1,555"
Luciano Darderi,35,"1,414"
Gabriel Diallo,36,"1,333"
Hubert Hurkacz,37,"1,285"
Lorenzo Sonego,38,"1,281"
Cameron Norrie,39,"1,277"
Alexandre Muller,40,"1,271"
Matteo Arnaldi,41,"1,265"
Nuno Borges,42,"1,265"
Giovanni Mpetshi Perricard,43,"1,205"
Jordan Thompson,44,"1,185"
Sebastian Baez,45,"1,180"
Corentin Moutet,46,"1,139"
Camilo Ugo Carabelli,47,"1,133"
Gael Monfils,48,"1,115"
Joao Fonseca,49,"1,110"
Miomir Kecmanovic,50,"1,106"
Jaume Munar,51,"1,087"
Zizou Bergs,52,"1,049"
Roberto Bautista Agut,53,"1,046"
Damir Dzumhur,54,"1,028"
Jacob Fearnley,55,"1,007"
Fabian Marozsan,56,"1,005"
Matteo Berrettini,57,975
Daniel Altmaier,58,973
Marcos Giron,59,960
Tomas Martin Etcheverry,60,960
Learner Tien,61,940
Aleksandar Kovacevic,62,929
Marin Cilic,63,922
Arthur Rinderknech,64,914
David Goffin,65,914
